id,id_controle_contrato,id_controle_catalogo,entidade,codigo,nome,data_inicio,data_termino,status,valor_estimado,valor_consumido,percentual_consumido,criado_em,atualizado_em,empresa_id
49459,3111,3971,HRCAF,CTS87.2026.MAR.00252,CTS87.2026.MAR.00252 - NEOMED ATENDIMENTO HOSPITALAR HOLDING LTDA,2026-03-13 00:00:00-03:00,2026-09-12 23:59:59-03:00,Vigente,682721.76,0.00,0.00,2026-09-08 00:31:20.836622-03:00,2026-09-08 00:31:20.836623-03:00,
49460,3114,3975,HRCAF,CTS87.2026.MAR.00263,BARROS SERVICOS DE CIRURGIA GERAL LTDA,2026-03-17 00:00:00-03:00,2026-09-16 23:59:59-03:00,Vigente,458967.00,0.00,0.00,2026-09-08 00:31:20.836624-03:00,2026-09-08 00:31:20.836624-03:00,
49461,3114,4681,HRCAF,CTS87.2026.MAR.00263 (1 ADITIV,BARROS SERVICOS DE CIRURGIA GERAL LTDA,2026-09-17 00:00:00-03:00,2027-03-16 23:59:59-03:00,Previsto,458967.00,0.00,0.00,2026-09-08 00:31:20.836625-03:00,2026-09-08 00:31:20.836626-03:00,
49462,3459,4663,HRCAF,87.2026.00364-55,CTS87.2026.ABR.00364 - FONETALK SERVIÇOS DE TELEFONIA UNIPESSOAL LIMITADA,2026-09-03 00:00:00-03:00,2029-09-02 23:59:59-03:00,Vigente,244800.00,0.00,0.00,2026-09-08 00:31:20.836627-03:00,2026-09-08 00:31:20.836628-03:00,
48905,466,4635,HUGOL,CTS01.2023.JUN.00069 2° ADITIV,CTS01.2023.JUN.00069 - INSTITUTO SONDAGE LTDA,2026-09-12 00:00:00-03:00,2027-09-11 23:59:59-03:00,Previsto,359450.00,0.00,0.00,2026-09-08 00:08:16.294734-03:00,2026-09-08 00:08:16.294735-03:00,2
48906,479,503,HUGOL,1.2023.00065-106,CTP01.2023.JUN.00065 - FUJICOM COMERCIO DE MATERIAIS HOSPITALARES E IMPORTACAO LTDA,2023-09-13 00:00:00-03:00,2024-09-12 23:59:59-03:00,Vencido,846696.00,0.00,0.00,2026-09-08 00:08:16.294736-03:00,2026-09-08 00:08:16.294736-03:00,2
48907,479,3269,HUGOL,CTP01.2023.JUN.00065-A2,CTP01.2023.JUN.00065 - FUJICOM COMERCIO DE MATERIAIS HOSPITALARES E IMPORTACAO LTDA,2025-09-13 00:00:00-03:00,2026-09-12 23:59:59-03:00,Vigente,870756.00,0.00,0.00,2026-09-08 00:08:16.294737-03:00,2026-09-08 00:08:16.294738-03:00,2
48908,479,2294,HUGOL,1.2023.00065-106A1,CTP01.2023.JUN.00065 - FUJICOM COMERCIO DE MATERIAIS HOSPITALARES E IMPORTACAO LTDA,2024-09-13 00:00:00-03:00,2025-09-12 23:59:59-03:00,Vencido,870756.00,0.00,0.00,2026-09-08 00:08:16.294739-03:00,2026-09-08 00:08:16.294739-03:00,2
48909,479,4692,HUGOL,CTP01.2023.JUN.00065-23 3° ADI,CTP01.2023.JUN.00065 - FUJICOM COMERCIO DE MATERIAIS HOSPITALARES E IMPORTACAO LTDA,2026-09-13 00:00:00-03:00,2027-09-12 23:59:59-03:00,Previsto,884880.00,0.00,0.00,2026-09-08 00:08:16.294740-03:00,2026-09-08 00:08:16.294741-03:00,2
48910,1463,2308,HUGOL,20210002.01267A1,SERVIÇO DE MANUTENÇÃO PREDIAL,2024-09-10 00:00:00-03:00,2025-09-09 23:59:59-03:00,Vencido,5045484.60,0.00,0.00,2026-09-08 00:08:16.294742-03:00,2026-09-08 00:08:16.294742-03:00,2
